<liquid:aerotheum>, Zephyrean Aerotheum
<liquid:almandine>, Molten Almandine
<liquid:alubrass>, Molten Aluminum Brass
<liquid:aluminum>, Molten Aluminum
<liquid:apatite>, Molten Apatite
<liquid:ardite>, Molten Ardite
<liquid:astralsorcery.liquidstarlight>, Liquid Starlight
<liquid:banded_iron>, Molten Banded Iron
<liquid:barite>, Molten Barite
<liquid:base_essence>, Molten Base Essence
<liquid:bastnasite>, Molten Bastnasite
<liquid:bauxite>, Molten Bauxite
<liquid:bentonite>, Molten Bentonite
<liquid:beryllium>, Molten Beryllium
<liquid:bio.ethanol>, Ethanol
<liquid:biodiesel>, Biodiesel
<liquid:biofuel>, Biofuel
<liquid:biomass>, Biomass
<liquid:blood>, Blood
<liquid:blueslime>, Liquid Blue Slime
<liquid:brass>, Molten Brass
<liquid:brine>, Brine
<liquid:bronze>, Molten Bronze
<liquid:brown_limonite>, Molten Brown Limonite
<liquid:calcite>, Molten Calcite
<liquid:canolaoil>, Canola Oil
<liquid:cassiterite>, Molten Cassiterite
<liquid:certus_quartz>, Molten Certus Quartz
<liquid:chalcopyrite>, Molten Chalcopyrite
<liquid:charcoal>, Molten Charcoal
<liquid:cinnabar>, Molten Cinnabar
<liquid:clay>, Molten Clay
<liquid:coal>, Molten Coal
<liquid:cobalt>, Molten Cobalt
<liquid:cobaltite>, Molten Cobaltite
<liquid:concrete>, Liquid Concrete
<liquid:constantan>, Molten Constantan
<liquid:cooperite>, Molten Cooperite
<liquid:copper>, Molten Copper
<liquid:creosote>, Creosote Oil
<liquid:crude_oil>, Crude Oil
<liquid:cryotheum>, Gelid Cryotheum
<liquid:crystaloil>, Crystallized Oil
<liquid:cyanite>, Fluid Cyanite
<liquid:dawnstone>, Molten Dawnstone
<liquid:diamond>, Molten Diamond
<liquid:diesel>, Diesel
<liquid:dirt>, Liquid Dirt
<liquid:dist_water>, Distilled Water
<liquid:electrum>, Molten Electrum
<liquid:emerald>, Molten Emerald
<liquid:empoweredoil>, Empowered Oil
<liquid:ender>, Resonant Ender
<liquid:enderium>, Molten Enderium
<liquid:essence>, Essence
<liquid:etchacid>, Etching Acid
<liquid:ethanol>, Ethanol
<liquid:experience>, Essence of Knowledge
<liquid:for.honey>, Honey
<liquid:fuel>, Gasoline
<liquid:fuel_dense>, Dense Fuel (Cool)
<liquid:fuel_dense_heat_1>, Dense Fuel (Hot)
<liquid:fuel_dense_heat_2>, Dense Fuel (Searing)
<liquid:fuel_gaseous>, Gaseous Fuel (Cool)
<liquid:fuel_gaseous_heat_1>, Gaseous Fuel (Hot)
<liquid:fuel_gaseous_heat_2>, Gaseous Fuel (Searing)
<liquid:fuel_light>, Fuel (Cool)
<liquid:fuel_light_heat_1>, Fuel (Hot)
<liquid:fuel_light_heat_2>, Fuel (Searing)
<liquid:fuel_mixed_heavy>, Mixed Heavy Fuels (Cool)
<liquid:fuel_mixed_heavy_heat_1>, Mixed Heavy Fuels (Hot)
